block,timestep,rel_l2,mean_cos,cos_dist,frac_tokens_cos_below_0p9,baseline_token_norm_mean,injected_token_norm_mean,norm_ratio
5,10,0.5391150116920471,0.8642503023147583,0.1357496976852417,0.8693891763687134,41.369361877441406,39.002159118652344,0.9427788428112087
5,12,0.5635486245155334,0.852270245552063,0.147729754447937,0.9227272868156433,41.28934097290039,38.75194549560547,0.9385459923189304
5,14,0.5886595249176025,0.8399708867073059,0.1600291132926941,0.9404829740524292,41.197471618652344,38.41704559326172,0.9325097896509801
5,16,0.6170188784599304,0.8230514526367188,0.17694854736328125,0.9541903138160706,41.21036148071289,38.58211135864258,0.9362235605892374
5,18,0.641187310218811,0.8087618947029114,0.19123810529708862,0.9632102251052856,41.06822967529297,38.41067123413086,0.9352891891816578
5,20,0.6623259782791138,0.7935773134231567,0.20642268657684326,0.97265625,40.97868728637695,38.627952575683594,0.9426351875484591
5,30,0.7823038101196289,0.6898244619369507,0.3101755380630493,0.9940341114997864,39.988075256347656,40.317378997802734,1.0082350485574523
5,40,0.8557147979736328,0.5438693165779114,0.4561306834220886,1.0,38.33401870727539,53.45835876464844,1.3945409473727473
5,49,0.9472034573554993,0.36326661705970764,0.6367333829402924,1.0,37.98340606689453,69.41915130615234,1.8276178598595056
10,0,0.3776107728481293,0.9365826845169067,0.06341731548309326,0.0856534093618393,57.85597610473633,55.381935119628906,0.9572379354445826
10,2,0.5198414921760559,0.8653140068054199,0.13468599319458008,0.8212357759475708,47.57232666015625,49.94073486328125,1.0497854187381723
10,4,0.5511366724967957,0.8523182272911072,0.14768177270889282,0.922088086605072,45.8145637512207,46.80392074584961,1.0215948142604008
10,6,0.5785977840423584,0.8383901715278625,0.16160982847213745,0.9683948755264282,44.69736862182617,45.14289474487305,1.0099676141299585
10,8,0.6069393157958984,0.8238527178764343,0.17614728212356567,0.988494336605072,43.8533821105957,43.654136657714844,0.9954565544710241
10,10,0.6304930448532104,0.810366153717041,0.18963384628295898,0.9941051006317139,43.27769088745117,42.88275909423828,0.9908744716939737
10,12,0.6550648212432861,0.7959112524986267,0.2040887475013733,0.9987925887107849,42.74878692626953,41.9846076965332,0.9821239552117739
10,14,0.67881178855896,0.7812427878379822,0.21875721216201782,0.9990056753158569,42.234527587890625,41.277435302734375,0.9773386293201806
10,16,0.7066167593002319,0.7618417739868164,0.2381582260131836,0.9999289512634277,41.856136322021484,40.87160110473633,0.9764781151869679
